Author; Title; Date of first Publishing; Genre; Sub-Genre; Confidence Score
Haarautuvien polkujen puutarha;Jorge Luis Borges;;;;100
Näkymättömät kaupungit;Italo Calvino;1844;Fiction;Historical Fiction;100
The Three Musketeers;Alexandre Dumas;1595;Play;Comedy;100
Ein Sommernachtstraum;William Shakespeare;No Value;No Value;No Value;100
SATIN ISLAND;TOM McCARTHY;2020;Non-fiction;Sociology;100
White Tears/Brown Scars;Ruby Hamad;1963;Science Fiction;Dystopian;100
Cat's Cradle;Kurt Vonnegut Jr; No Value; Horror; No Value;90
 PONTYPOOL changes everything;TONY BURGESS;2004;Non-fiction;Philosophy;100
The End of Faith;Sam Harris;2016;Science Fiction;Space Opera;100
We Are Legion (We Are Bob);Dennis E. Taylor;1992;Science Fiction;Science Fiction;100
Snow Crash;Neal Stephenson;1994;Computer Networking;Protocols;100
TCP/IP Illustrated Volume 1;W. Richard Stevens;1808;Fiction;Drama;100
Faust;Johann Wolfgang Goethe;2010;No Value;No Value;100
Mornings in Jenin;Susan Abulhawa;No Value;No Value;No Value;90
Girl in Translation;Jean Kwok;2003;History;Ancient History;95
The Peloponnesian War;Donald Kagan;No Value Extraction Possible;No Value Extraction Possible;No Value Extraction Possible;95
Noah's Garden;Sara Stein;1986;Non-fiction;Technology;90
User Centered System Design;Donald A. Norman;No Value extraction possible;Non-fiction;Design;100
CAPS LOCK;Ruben Pater;No Value extraction possible;No Value extraction possible;No Value extraction possible;100
Clearing the Plains;James Daschuk;No Value;No Value;No Value;90
Hry;Havel;1949;Dystopian;Science Fiction;100
1984;George Orwell;2000; Programming; Python;100
 The Quick Python Book;Daryl Harms;No Value;Poetry;Children's Poetry;100
Zilly Verse for Kids;Spike Milligan;2014;Fiction;Dystopian;95
Station Eleven;Emily St. John Mandel;1848; Political; Philosophy;95
 The Communist Manifesto;Karl Marx;1958;Fiction;Modern Classic;95
The Dharma Bums;Jack Kerouac; No Value; Literature; Counterculture;100
 Glanz & Gloria der Beatniks;Ed Sanders;1865;Fantasy;Children's literature;100
Alice's Adventures in Wonderland;Lewis Carroll;No Value;Graphic Novel;No Value;95
The Tale of One Bad Rat;Bryan Talbot;1960;Historical Fiction;Legal Fiction;100
To Kill a Mockingbird;Harper Lee;No Value;Science Fiction;No Sub-Genre;95
Und die Erde steht still;Philip K. Dick;2000;Fantasy;High Fantasy;100
Deadhouse Gates;Steven Erikson;1995;Non-Fiction;Memoir;100
An Unquiet Mind;Kay Redfield Jamison; No Value extraction possilbe; No Value extraction possilbe; No Value extraction possilbe;100
 Independent People;Halldór Laxness;No Value;Non-fiction;Decision Making;95
Thinking in Bets;Annie Duke;Unknown;Unknown;Unknown;95
Psyche;Hubert Fichte;2002;Fantasy;Comic Fantasy;95
Night Watch;Terry Pratchett;1896; Science Fiction; Horror;90
 The Island of Doctor Moreau;H. G. Wells;1962;Science Fiction;Dystopian Fiction;100
THE MAN IN THE HIGH CASTLE;PHILIP K. DICK;1999;Philosophy;Memoir;100
the empty mirror;Janwillem van de Wetering;;;;80
Psychologie ;P.G. Zimbardo ;1987;Science Fiction;Thriller;95
Sphere;Michael Crichton;1988;Non-Fiction;Memoir;95
Behind The Candelabra: My Life With Liberace;Scott Thorson with Alex Thorleifson;1952;Non-fiction;Social and Political Critique;95
 White Masks;Frantz Fanon;No Value;Non-fiction;Books about books;100
The Bookshop Book;Jen Campbell;1953;Travel;Exploration;95
The Rivers Ran East;Leonard Clark;1989;Science Fiction;Space Opera;95
Hyperion Cantos;Dan Simmons;1986;Science Fiction;No Sub-Genre;100
A Door Into Ocean;Joan Slonczewski; No Daten Found; No Genre Found; No Sub-Genre Found;100
 Noční Orel;Alexandre Lonuš;1977;Non-fiction;Memoir;99
The Camera Never Blinks;Dan Rather with Mickey Herskowitz;1908;Children's literature;Animal fiction;100
The Tale of Jemima Puddle-Duck;Beatrix Potter;1998;Travel;History;90
Europe 101;Rick Steves;1960;Children's Literature;Animal Stories;90
The Fire Cat;Esther Averill;1959; Fiction; Science Fiction;100
 Daniel Keyes;Flowers for Algernon;1985;Science Fiction;Space Opera;100
Ender's Game;Orson Scott Card;1945;Philosophy;Political Philosophy;100
Die offene Gesellschaft und ihre Feinde;Karl Popper;2012;Non-fiction;Information graphics;100
the functional art;alberto cairo;1961;Non-fiction;Essays;95
 Judith Binney;Tangata Whenua: An Illustrated History Atholl Anderson;1949;Dystopian Fiction;Science Fiction;100
Nineteen Eighty-Four;George Orwell;1990;Business;Management;100
The Fifth Discipline;Peter M. Senge;;;;
Eines Menschen Herz ;William Boyd ;2014; Science Fiction; Space Opera;95
 the long way to a small angry planet;Becky Chambers;1974;Fiction;Black Humor;90
Something Happened;Joseph Heller;2011;Historical Fiction;No Sub-genre;100
Between Shades of Gray;Ruta Sepetys;1981;Non-Fiction;Sexuality;95
The Hite Report on Male Sexuality;Shere Hite;No Value;Non-fiction;Mathematics on Gambling;90
The Mathematics of Gambling;Dr. Edward O. Thorp;1998;Non-fiction;History;90
Slaves in the Family;Edward Ball;No Value extraction possible;No Value extraction possible;No Value extraction possible;30
No Value extraction possible;Competent Crew;2015;Science fiction;Space opera;100
Seveneves;Neal Stephenson;1991;Computing;Programming;95
Programming Perl;Larry Wall and Randal L. Schwartz;2006;Non-fiction;Atheism;95
The God Delusion;Richard Dawkins;1948;Fiction;War;100
The Naked and the Dead;Norman Mailer;2009;Non-fiction;Science;95
Out of Our Heads;Alva Noë;2006;Computers;Programming;100
Compilers Principles Techniques & Tools;Alfred V. Aho;1982;Fiction;Literary;100
Die Farbe Lila;Alice Walker;;Memoir;Psychological;95
Operators and Things;Barbara O'Brien;1979;Humor;Satire;100
Cruel Shoes;Steve Martin;No Value;No Value;No Value;100
Queer;William Burroughs;No Value;No Value;No Value;100
Links wo das Herz ist;Leonhard Frank;1941; Fantasy; Magic;100
 The Compleat Enchanter;L. Sprague de Camp;No Value;Non-fiction;Law;95
BÜPF/VÜPF: Kommentar zum Bundesgesetz und zur Verordnung über die Überwachung des Post- und Fernmeldeverkehrs;Thomas Hansjakob; No Value; No Value; No Value;90
 Terence Conran;The House Book;1870;Science Fiction;Adventure;100
Twenty Thousand Leagues Under the Sea;Jules Verne;No Value extraction possilbe;Non-Fiction;Memoir;95
High Price;Dr. Carl Hart;No Value;No Value;No Value;90
Steve Bowles;Stench of Kerosene;1977;Science Fiction;Space Opera;90
GATEWAY;Frederik Pohl;1906;Fantasy Myths;;
Time and the Gods;Lord Dunsany;1970;Fantasy;Sword and Sorcery;100
Swords and Deviltry;Fritz Leiber;No Value;No Value;No Value;90
Kettusen Kirja;Markus Kajo;1996;History;Russian Revolution;100
A People's Tragedy;Orlando Figes;1916;Fiction;Modernist;100
A Portrait of the Artist as a Young Man;James Joyce;No Value;Philosophy;Literary Criticism;100
Kafka;Gilles Deleuze;1972;No Value;No Value;100
As cidades invisíveis;Italo Calvino;1853; Fiction; Novella;100
 Bartleby the Scrivener;Herman Melville;1965;Autobiography;Civil Rights;100
Alex Haley;The Autobiography of Malcolm X;2008;Non-fiction;Systems Theory;100
Thinking in Systems;Donella H. Meadows;1989;Science Fiction;Cyberpunk;90
No Value;Shadowrun;1994;Fantasy;High fantasy;100
Wizard's First Rule;Terry Goodkind;2003;Technology;Software Architecture;90
Beyond Software Architecture;Luke Hohmann;1986;Children's literature;Puzzle;100
Animalia;Graeme Base;No Value extraction possilbe;Non-fiction;Fashion;100
When Women Ran Fifth Avenue;Julie Satow;No Value;History;World War II;85
Book and Dagger;Elyse Graham;2015;Science Fiction;Afrofuturism;95
Binti: The Complete Trilogy;Nnedi Okorafor;1978;Fiction;LGBT;100
Tales of the City;Armistead Maupin;1954;Fantasy;High Fantasy;95
Taru Sormusten Herrasta;Tolkien;1932; Dystopian; Science Fiction;100
 Brave New World;Aldous Huxley;1905;Children's literature;No sub-genre;95
A Little Princess;Frances Hodgson Burnett;1936;Fiction;Literary;90
Mephisto;Klaus Mann;1979; Science Fiction; No Value;100
 The Hitchhiker's Guide to the Galaxy;Douglas Adams; No Value extraction possible; Non-fiction; History;80
 The Nation on No Map;William C. Anderson;1965;;;90
Das bonbonfarbene tangerinrot-gespritzte Stromlinienbaby ;Tom Wolfe ;1980;Non-fiction;Essay;100
Under the Sign of Saturn;Susan Sontag;2010; Non-fiction; Biography;95
 The Immortal Life of Henrietta Lacks;Rebecca Skloot; No Value; Self-Help; Personal Development;95
 Core Transformation: Reaching the Wellspring Within;Connirae Andreas with Tamara Andreas;2010;Nonfiction;Social Justice;98
The New Jim Crow;Michelle Alexander;1983;Anthropology;Cultural Anthropology;90
Time and the Other: How Anthropology Makes Its Object;Johannes Fabian; No Value extraction possilbe; No Value extraction possilbe; No Value extraction possilbe;80
 Die ungleiche Entwicklung;Samir Amin; No Value; Gardening; Regional;80
 Sunset Western Garden Book;Sunset Editors;1864;Fiction;Philosophical;95
Notes from Underground;Fyodor Dostoyevsky;No Value;Non-fiction;History;100
State Secrets;Vil S. Mirzayanov;1997;Non-fiction;Human sexuality;100
The Ethical Slut;Dossie Easton;2005; Fantasy; Young Adult;95
 Percy Jackson and the Olympians: The Lightning Thief;Rick Riordan;No Value;No Value;No Value;99
Jaime Manrique;Like This Afternoon Forever;1962; Non-fiction; Environment;100
 Silent Spring;Rachel Carson;1952;Children's;Animal stories;100
Charlotte's Web;E.B. White;No Value;No Value;No Value;100
This Mournable Body;Tsitsi Dangarembga;1974;History;Political History;90
The Gulag Archipelago;Alexander Solzhenitsyn;No Value;Non-fiction;Religion and Atheism;95
Why Are You Atheists So Angry?;Greta Christina;1998;Mystery;Thriller;100
Digital Fortress;Dan Brown;2011;Science Fiction;Adventure;100
The Martian;Andy Weir;1961;Fiction;Black Comedy;95
Catch-22;Joseph Heller;1989; Computer Science; System Administration;100
 Unix System Administration Handbook;Evi Nemeth;1980;Non-Fiction;Technology;95
The Art of Electronics;Horowitz and Hill;1960;Fiction;Historical Fiction;100
To Kill a Mockingbird;Harper Lee;2000; Fantasy; Steampunk;90
 Perdido Street Station;China Mieville;2006;Non-fiction ;History;100
Voyages of the Ancestors  ;Vaka Moana; No Value extraction possible; Fiction; Children's Fiction;95
 William - The Outlaw;Richmal Crompton;2008;Science Fiction;Young Adult;100
Little Brother;Cory Doctorow;2009;Non-Fiction;Autobiography;100
HIGHEST DUTY;"CAPT. CHESLEY ""SULLY"" SULLENBERGER with Jeffrey Zaslow";No Value;Non-Fiction;Animal Behavior;80
The Wild Life of the Domestic Cat;Roger Tabor;No Date Identified;Memoir;No sub-genre;90
Janet Mock;Redefining Realness;2000; Non-fiction; Relationships;100
bell hooks; all about love; No Value extraction possible; No Value extraction possible; No Value extraction possible;90
Diedrich Diederichsen; Eigenblutdoping;1985;Science;Physics;95
Richard P. Feynman;Surely You're Joking Mr. Feynman!;;;;100
Maxim Gorki;Autobiographische Romane;1981;Fiction;Mystery and Crime;95
Gabriel García Márquez;Chronicle of a Death Foretold;No Value;No Value;No Value;100
Beatrix Potter;Peter Rabbit's Cookery Book;1984;Fantasy;Urban Fantasy;100
Diana Wynne Jones;Archer's Goon;1929;Comics;Adventure;95
Hergé;The Adventures of Tintin;1988;Fiction;Mystery;100
Umberto Eco;Foucault's Pendulum;1977;Fantasy;High Fantasy;100
J.R.R. Tolkien;The Silmarillion;1977;Fiction;Fantasy;95
Richard Bach;Illusions: The Adventures of a Reluctant Messiah;1950;Science Fiction;Fantasy;100
Jack Vance;The Dying Earth;1899;Adventure;Fiction;100
Joseph Conrad;Heart of Darkness;No Value;No Value;No Value;100
De Kapellekensbaan Zomer te Ter-Muren;Louis Paul Boon;1937; Poetry; No Value;90
 Letters from Iceland;W.H. Auden and Louis MacNeice; No Value; Science Fiction; No Value;90
Im Weltall: Die Raumschiffe der Jahre 2000-2100 n. Chr.;Stewart Cowley;2023;Reference;Mythology;90
Women of Myth;Jenn Williamson;2004;Fantasy;Humorous Fantasy;95
Going Postal;Terry Pratchett;2001;Fantasy;Adventure;100
Artemis Fowl;Eoin Colfer;;;;
Rachel L. Swarns;The 272;1998;Sci-Fi;Space Opera;100
Star Wars: X-Wing Wraith Squadron;Aaron Allston;2018;Fiction;Historical Fantasy;95
Circe;Madeline Miller;No Value extraction possible;No Value extraction possible;No Value extraction possible;90
The Future of Ideas;Lawrence Lessig;1995;Non-fiction;Science;100
The Demon-Haunted World;Carl Sagan;2008;True Crime;History;100
Havana Nocturne;T. J. English;No Value;No Value;No Value;100
Der Alkoholiker Alkoholmißbrauch und Alkoholkriminalität;Hans Szewczyk;1995; Fantasy; Satire;100
 Maskerade;Terry Pratchett;1879; Children's Literature; Picture Book;100
 FUNNY PICTURE BOOK;COLE'S;No Value;No Value;No Value;100
Setting Sights;scott crow;2000;fiction;horror;100
House of Leaves;Mark Z. Danielewski;No Value;No Value;No Value;100
Die dampfenden Hälse der Pferde im Turm von Babel;Franz Fühmann;1983;Non-fiction;Data Visualization;90
The Visual Display of Quantitative Information;Edward R. Tufte;1974; Poetry; Children's literature;100
 Where the Sidewalk Ends;Shel Silverstein;1850;Fiction;Classics;100
David Copperfield;Charles Dickens;Unknown;Unknown;Unknown;85
Das große Heinz Erhardt Buch;Heinz Erhardt;1932;Fiction;Literary;90
Reise ans Ende der Nacht;Louis-Ferdinand Céline;1982;Fiction;Magical Realism;95
The House of the Spirits;Isabel Allende;1922;Fiction;Satire;95
Babbitt;Sinclair Lewis;1965;Science Fiction;None;100
Dune;Frank Herbert;1968;Mathematics;Category Theory;100
Categories for the Working Mathematician;Saunders Mac Lane;1950;Science Fiction;;
The Martian Chronicles;Ray Bradbury;2015;Fantasy;Young Adult;100
The Shepherd's Crown;Terry Pratchett;1949;Science fiction;Dystopian;100
1984;George Orwell;No Value;Self-help;No Value;95
Homecoming;John Bradshaw;1947;Non-fiction;Autobiography;100
The Diary of a Young Girl;Anne Frank;;Fiction;Romance;100
Unknown;Pride and Prejudice;2006;Biography;Technology;100
iWoz;Steve Wozniak;;Philosophy;Religion;100
The Age of Reason;Thomas Paine;No Value;No Value extraction possible;No Value extraction possible;95
SETTING UP AN AMATEUR RADIO STATION;Bob Patterson K5DZE;No Value;Non-fiction;Biography;100
An Astronaut's Guide to Life on Earth;Col. Chris Hadfield;1929; Fiction; War;100
 Im Westen nichts Neues;Erich Maria Remarque;1972;Children's;Stories Songs and Poems;90
Free To Be... You And Me;Mario Thomas & Friends;1993;Science Fiction;Dystopian;100
Parable of the Sower;Octavia E. Butler;No Value;Non-fiction;History;100
Was war vor den Pharaonen?;Doris Wolf;1991;Historical Fiction;Romance;100
Outlander;Diana Gabaldon;No Value;No Value;No Value;100
Parrots of the World;Joseph M. Forshaw;1955;Non-fiction;Memoir;100
Gift from the Sea;Anne Morrow Lindbergh;No Value;Non-fiction;Cooking;100
Cookery Book;EDMONDS;;Philosophy;Classic;100
The Republic;Plato;1965;Autobiography;No sub-genre;100
Allan Sherman;A Gift of Laughter;1987;Non-fiction;Science;100
Chaos: Making a New Science;James Gleick;2000; Non-fiction; Psychology;100
 A General Theory of Love;Thomas Lewis M.D.;No Value;Play;Drama;90
The Complete Plays;Joe Orton;1985; Children's Literature; Fairy Tale;95
 A Négyszögletű Kerek Erdő;Lázár Ervin;1951;fiction;humor;90
The Don Camillo Omnibus;Giovannino Guareschi;1897;Horror;Gothic;100
Dracula;Bram Stoker;2001;Non-fiction;Political Essay;100
La Rabbia e l'Orgoglio;Oriana Fallaci;1968;Science Fiction;Dystopian;100
Do Androids Dream of Electric Sheep?;Philip K. Dick;2000; Fantasy; New Weird;90
 Perdido Street Station;China Miéville;1982;Detective Fiction;Mystery;100
Indemnity Only;Sara Paretsky;2008;Non-fiction;Health;95
In Defence of Food;Michael Pollan;No value;Non-fiction;Linguistics;100
Through the Language Glass;Guy Deutscher; Not Identified; Comics; Science Fiction;100
 The Airtight Garage;Moebius;1999;Science Fiction;War;90
Der ewige Krieg;Joe Haldeman;No Value;No Value;No Value;100
The Girls of Slender Means;Muriel Spark;No Value;Programming;Java;95
Java als erste Programmiersprache;Joachim Goll;1971;Fiction;Literary;90
Der Mann mit der Ledertasche;Charles Bukowski; No Value; Travel; Adventure;90
 A Short Walk in the Hindu Kush;Eric Newby;No Value;No Value;No Value;100
Glück kommt selten allein;Dr. med. Eckart von Hirschhausen;No Value;Non-Fiction;Investigative Journalism;100
The Doctor Who Fooled The World;Brian Deer;No Value;No Value;No Value;90
The I Ching - Or Book of Changes;Wilhelm Baynes; No Value; Non-fiction; History;95
 The Poor Had No Lawyers: Who Owns Scotland (And How They Got It);Andy Wightman;1908;Novel;Children's literature;100
Anne of Green Gables;L. M. Montgomery;1851;No Value;No Value;95
Moby-Dick;Herman Melville;No Value;Non-fiction;Memoir;95
South and West;Joan Didion; No Value extraction possilbe; No Value extraction possilbe; No Value extraction possilbe;100
 Heilpflanze Haschisch;Chris Conrad;1977;Science Fiction;Hard Science Fiction;95
Gateway;Frederik Pohl;1956;Fantasy;High Fantasy;95
C.S. Lewis;The Last Battle;1958;Social Science;Anthropology;100
Antropologia Estrutural;Claude Lévi-Strauss;;Adventure;Travel;100
Three Singles to Adventure;Gerald Durrell;1997;Non-Fiction;Adventure;100
The Perfect Storm;Sebastian Junger;1965;Children's literature and Science fiction;Adventure;100
Bertrand R. Brinley;The Mad Scientists' Club;No Value;Fantasy;High Fantasy;90
Avalonin Usvat;Marion Zimmer Bradley;1983;Religion;Parody;90
The SubGenius Foundation;The Book of the SubGenius;1966;Non-Fiction;Philosophy;100
The Order of Things;Michel Foucault;No Value;History;Ancient History;90
Against the Grain;James C. Scott;1946;Non-fiction;Writing;100
Lajos Egri;The Art of Dramatic Writing;1954;Drama;Radio play;100
